Alias,potatofaminewasaninsidejob,Thug Nugget,Arjen_Robben_Is_Cool,Oh-Long Johnson,BigD,Starlord,captainamerica,BabyKangaroo,Ryan,poverty jones,Hugh jackman ,Anastasia,Christian Grey,Steve Bannon,Donald J. Trump,Eternally Tempestuous,PGH Robin Hood,Craig sucks,Programmer? I hardly know her!,KappaPride,Roger Ebert,Garbage ,CleverAlias,Kirito,ryan,Geek in the Pink,Michelle,Jim Jarmush,rater,RonJohnson,Dory
50 Shades of Grey,1,,,1,,1,1,,1,2,2,5,5,,1,,,,1,2,1,3,3,1,1,1,,1,,2,2
Airplane,,,,5,,3,,4,4,4,2,1,3,,1,,,5,4,2,4,5,3,5,1,3,,,,4,
Au Revoir Les Enfants,,,,2,,,,,3,3,3,1,3,,1,,,,3,3,2,3,3,,3,3,,,,4,
Blues Brothers,,,,4,,,,2,3,3,3,1,3,3,1,,,4,4,5,4,5,3,4,3,4,,4,,4,
Dark Night,,3,,5,5,5,,5,5,5,4,1,3,,1,,,5,5,3,5,4,3,4,4,4,,,4,5,5
Deadpool (2016),4,4,,5,,2,5,,4,5,5,1,5,5,1,,,2,5,4,5,5,4,4,5,3,4,1,,5,
Don't Mess with the Zohan,,,3,5,,2,,,2,2,3,1,3,,1,,,,4,2,2,1,3,3,1,3,,1,,2,
Dr. Strange,4,,,3,,4,5,,4,3,5,1,5,3,1,,,,2,4,2,3,5,4,3,3,,5,,4,
Ex Machina,4,,,2,,4,,,5,4,3,1,3,4,1,,,,2,4,4,4,3,4,3,3,3,3,,5,
Fast and Furious,,,,1,4,1,3,,2,4,5,1,5,3,1,,3,2,5,4,3,3,5,4,5,2,,,,5,4
Fight Club,4,2,,4,,5,4,5,4,5,5,1,3,,1,,5,5,5,5,4,4,3,4,4,5,5,5,,5,4
Finding Dory,3,4,,4,4,3,4,,4,5,4,3,3,4,1,,,2,3,4,5,4,5,4,3,5,4,,,5,5
Good Will Hunting,,,,4,4,5,4,4,4,5,2,3,3,,1,,,5,4,3,5,4,3,4,5,5,4,,,4,
Grownups,2,4,,1,,1,2,,1,2,,3,3,2,5,,,4,2,2,1,3,3,,5,2,,1,4,2,5
Harry Potter: The Sorcerer's Stone,3,4,4,3,4,3,4,,3,3,5,5,3,4,1,,4,4,4,5,5,5,4,4,3,5,4,,,3,5
Jurassic Park,3,4,,2,,4,4,,4,4,3,2,3,5,1,4,4,2,4,5,4,5,4,4,4,5,4,,3,4,3
Keanu,,,,3,,,,,3,2,2,2,3,1,1,,,,5,3,2,3,3,5,3,1,,,,4,
La La Land,,,,2,,,5,,4,5,2,5,5,5,1,,,,4,2,5,1,3,4,3,3,4,5,,2,4
Lord of the Rings: Return of the King,5,5,5,5,,5,3,,5,5,1,1,1,4,1,5,5,3,4,5,4,5,5,5,3,5,3,,,4,3
Mr. Deeds,,,,3,,3,,,3,1,1,1,3,2,5,,,3,5,4,5,5,3,,3,1,,,,3,5
Nacho Libre,,,,5,,,,,2,1,2,1,3,2,1,,,,3,3,2,2,3,4,3,2,,,,1,
Pulp Fiction (1994),4,1,,5,5,4,,5,5,5,3,1,4,4,1,5,,5,5,5,5,5,4,4,3,4,4,5,,3,4
Ratatuille,3,2,4,2,5,4,4,4,4,5,4,4,3,3,1,,,4,5,4,5,5,5,4,3,4,3,,,3,5
Remember the Titans,,,,2,,,,,3,1,3,1,3,2,1,,,4,5,5,2,3,3,4,5,4,,,5,3,5
Sharknado (2013),,,,1,,1,1,1,1,1,3,1,3,,1,,,1,2,1,1,3,3,1,3,3,,,,3,
Shawshank Redemption,,,,5,,4,5,5,5,1,5,5,5,,1,5,5,5,4,5,1,4,3,,5,4,4,,4,5,5
Shrek,4,2,5,5,3,3,5,,5,5,5,5,5,4,1,,4,4,4,5,4,5,5,4,4,5,3,4,,3,4
Snakes on a Plane,4,1,,2,2,2,,,1,2,2,2,3,,1,1,,1,4,1,3,2,3,4,3,1,,,1,3,1
Spiderman,3,5,4,2,5,2,,,4,2,4,3,3,3,1,4,4,2,4,4,3,5,4,3,5,4,3,,,3,3
Star Wars: Episode I,3,5,3,2,,1,4,1,3,2,1,1,1,,1,,4,1,4,4,4,4,5,3,3,5,,,,1,
Star Wars: Episode IV,5,5,4,4,,5,4,,5,4,1,1,1,4,1,,4,3,5,4,4,3,5,4,3,5,,,,5,
Star Wars: The Return of the Jedi,5,5,5,4,,5,4,,5,4,1,1,1,4,1,4,3,4,4,5,4,3,5,5,3,5,,,,5,1
Step Brothers,1,,,4,,4,3,5,4,3,4,3,4,5,1,,,2,4,3,2,5,3,,5,2,,2,4,2,
Suicide Squad,2,,,2,2,3,2,,2,3,4,5,5,1,1,,,1,4,2,3,3,3,2,3,2,,,2,3,
Superbad,,5,,4,,4,4,,5,5,3,1,3,3,1,4,,3,4,3,2,3,3,4,5,1,,,,3,3
Terminator 2,4,,,4,4,4,,4,3,3,3,1,3,,1,,5,3,4,4,2,3,4,,4,2,,4,,3,
The Fifth Element,,,,,,5,,,3,2,3,1,3,,1,3,3,4,2,4,2,4,3,,3,4,,4,,4,
The Fundamentals of Caring,,,,,,,,,4,1,3,3,3,,1,,,,2,3,2,1,5,,3,2,,,,3,
The Godfather,,1,,5,,,4,5,5,4,5,3,5,,2,,4,4,2,5,2,5,3,4,4,4,5,,,4,
The Imitation Game,4,,,4,5,5,5,3,5,3,1,3,3,4,1,,,,5,3,5,5,3,,5,5,3,3,,4,5
The Martian,4,4,,4,4,4,,4,4,4,2,3,4,4,1,,,,5,3,5,4,5,4,4,5,4,3,5,4,
The Matrix,5,4,5,4,,5,,3,5,4,5,5,5,,1,,4,4,5,5,5,4,5,4,4,4,4,5,,5,
The Room,3,,,1,,,,,3,4,2,1,3,,1,,,,5,4,5,5,5,1,2,2,3,4,,3,
Split (2016),,,,,,,,,3,2,4,5,2,4,1,,,,5,3,2,4,3,,2,1,,,,3,
Toy Story,,,,,5,4,4,5,5,5,5,5,5,4,1,3,,5,5,5,3,5,5,4,5,4,4,,,5,4
War Dogs,,,,,,3,,,3,4,2,1,1,3,1,,,,4,4,3,3,2,,2,2,,,,3,
